tau,tauDot,q,qDot,u
-1,0,-94.9655,0,0
-1,0,-94.9595,0,0
-1,0,-94.9534,0,0
-1,0,-94.9474,0,0
-1,0,-94.9414,0,0
-1,0,-94.9353,0,0
-1,0,-94.9293,0,0
-1,0,-94.9232,0,0
-1,0,-94.9172,0,0
-1,0,-94.9111,0,0
-1,0,-94.9051,0,0
-1,0,-94.899,0,0
-1,0,-94.893,0,0
-1,0,-94.8869,0,0
-1,0,-94.8809,0,0
-1,0,-94.8749,0,0
-1,0,-94.8688,0,0
-1,0,-94.8628,0,0
-1,0,-94.8567,0,0
-1,0,-94.8507,0,0
-1,0,-94.8446,0,0
-1,0,-94.8386,0,0
-1,0,-94.8326,0,0
-1,0,-94.8265,0,0
-1,0,-94.8205,0,0
-1,0,-94.8144,0,0
-1,0,-94.8084,0,0
-1,0,-94.8024,0,0
-1,0,-94.7963,0,0
-1,0,-94.7903,0,0
-1,0,-94.7843,0,0
-1,0,-94.7782,0,0
-1,0,-94.7722,0,0
-1,0,-94.7661,0,0
-1,0,-94.7601,0,0
-1,0,-94.7541,0,0
-1,0,-94.748,0,0
-1,0,-94.742,0,0
-1,0,-94.736,0,0
-1,0,-94.7299,0,0
-1,0,-94.7239,0,0
-1,0,-94.7179,0,0
-1,0,-94.7118,0,0
-1,0,-94.7058,0,0
-1,0,-94.6998,0,0
-1,0,-94.6937,0,0
-1,0,-94.6877,0,0
-1,0,-94.6817,0,0
-1,0,-94.6756,0,0
-1,0,-94.6696,0,0
-1,0,-94.6636,0,0
-1,0,-94.6576,0,0
-1,0,-94.6515,0,0
-1,0,-94.6455,0,0
-1,0,-94.6395,0,0
-1,0,-94.6334,0,0
-1,0,-94.6274,0,0
-1,0,-94.6214,0,0
-1,0,-94.6154,0,0
-1,0,-94.6093,0,0
-1,0,-94.6033,0,0
-1,0,-94.5973,0,0
-1,0,-94.5913,0,0
-1,0,-94.5852,0,0
-1,0,-94.5792,0,0
-1,0,-94.5732,0,0
-1,0,-94.5672,0,0
-1,0,-94.5611,0,0
-1,0,-94.5551,0,0
-1,0,-94.5491,0,0
-1,0,-94.5431,0,0
-1,0,-94.5371,0,0
-1,0,-94.531,0,0
-1,0,-94.525,0,0
-1,0,-94.519,0,0
-1,0,-94.513,0,0
-1,0,-94.5069,0,0
-1,0,-94.5009,0,0
-1,0,-94.4949,0,0
-1,0,-94.4889,0,0
-1,0,-94.4829,0,0
-1,0,-94.4769,0,0
-1,0,-94.4708,0,0
-1,0,-94.4648,0,0
-1,0,-94.4588,0,0
-1,0,-94.4528,0,0
-1,0,-94.4468,0,0
-1,0,-94.4408,0,0
-1,0,-94.4347,0,0
-1,0,-94.4287,0,0
-1,0,-94.4227,0,0
-1,0,-94.4167,0,0
-1,0,-94.4107,0,0
-1,0,-94.4047,0,0
-1,0,-94.3987,0,0
-1,0,-94.3926,0,0
-1,0,-94.3866,0,0
-1,0,-94.3806,0,0
-1,0,-94.3746,0,0
-1,0,-94.3686,0,0
-1,0,-94.3626,0,0
-1,0,-94.3566,0,0
-1,0,-94.3506,0,0
-1,0,-94.3446,0,0
-1,0,-94.3386,0,0
-1,0,-94.3325,0,0
-1,0,-94.3265,0,0
-1,0,-94.3205,0,0
-1,0,-94.3145,0,0
-1,0,-94.3085,0,0
-1,0,-94.3025,0,0
-1,0,-94.2965,0,0
-1,0,-94.2905,0,0
-1,0,-94.2845,0,0
-1,0,-94.2785,0,0
-1,0,-94.2725,0,0
-1,0,-94.2665,0,0
-1,0,-94.2605,0,0
-1,0,-94.2545,0,0
-1,0,-94.2485,0,0
-1,0,-94.2425,0,0
